,year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa,xbh,iso,bb/pa,so/pa,high_paid_y,high_paid_n
1,0,152,563,96,165,29,3,15,103,30,8,94,113,7,1,0,9,15,5000000,118,0.4351687388987567,0.38980509745127434,0.29307282415630553,0.824973836350031,245,96.58295281582953,0.33783783783783783,667,47,35.07992895204263,0.1409295352323838,0.16941529235382308,0,1
4,0,74,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,1,0.5,0.5,0.5,1.0,1,0.5,0.5,2,0,0.0,0.0,0.0,0,1
6,0,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,410000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,1.0,1,0
7,0,27,69,6,15,3,0,0,5,1,1,5,16,2,0,0,1,0,1300000,12,0.2608695652173913,0.26666666666666666,0.21739130434782608,0.527536231884058,18,4.864864864864865,0.2777777777777778,75,3,3.0,0.06666666666666667,0.21333333333333335,1,0
8,0,65,185,25,44,9,0,2,13,3,6,20,49,0,3,2,0,4,440000,33,0.31891891891891894,0.32211538461538464,0.23783783783783785,0.6410343035343036,59,18.41951219512195,0.31343283582089554,210,11,9.032432432432433,0.09523809523809523,0.23333333333333334,1,0
9,0,30,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,400000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0,0.0,0.0,0.6666666666666666,1,0
10,0,135,496,52,133,27,0,13,61,1,0,27,73,2,2,0,9,11,2500000,93,0.4012096774193548,0.30337078651685395,0.26814516129032256,0.7045804639362088,199,60.879541108986615,0.2863961813842482,534,40,27.078629032258064,0.05056179775280899,0.13670411985018727,0,1
11,0,74,165,22,40,4,4,0,16,13,2,8,22,0,1,1,0,4,400000,32,0.3151515151515151,0.28160919540229884,0.24242424242424243,0.596760710553814,52,14.427745664739884,0.27972027972027974,175,8,12.0,0.045714285714285714,0.12571428571428572,1,0
12,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1150000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,0,0.0,0.0,0.25,1,0
13,0,78,198,31,44,7,0,2,10,3,3,15,47,1,0,0,2,6,400000,35,0.2878787878787879,0.2744186046511628,0.2222222222222222,0.5622973925299507,57,15.788732394366198,0.2781456953642384,215,9,7.03030303030303,0.06976744186046512,0.2186046511627907,1,0
14,0,145,480,72,128,17,8,6,40,33,6,40,77,0,6,12,3,4,400000,97,0.3729166666666667,0.32892249527410206,0.26666666666666666,0.7018391619407687,179,57.83076923076923,0.305,541,31,33.0375,0.07393715341959335,0.1423290203327172,1,0
15,0,122,372,50,86,21,2,11,38,4,3,26,99,4,3,0,3,5,2825000,52,0.3870967741935484,0.28465346534653463,0.23118279569892472,0.671750239540083,144,40.52261306532663,0.2830188679245283,404,34,25.088709677419356,0.06435643564356436,0.24504950495049505,0,1
17,0,36,62,4,7,3,0,0,0,0,0,0,27,0,0,14,0,2,10125000,4,0.16129032258064516,0.11290322580645161,0.11290322580645161,0.27419354838709675,10,1.1290322580645162,0.2,76,3,3.0,0.0,0.35526315789473684,0,1
18,0,126,354,37,80,12,1,9,48,0,0,41,58,2,2,0,2,8,7050000,58,0.3418079096045198,0.3082706766917293,0.22598870056497175,0.650078586296249,121,37.06582278481012,0.24567474048442905,399,22,14.076271186440678,0.10275689223057644,0.14536340852130325,0,1
19,0,60,122,10,26,2,0,2,16,0,0,8,24,1,0,0,3,5,1000000,22,0.2786885245901639,0.2556390977443609,0.21311475409836064,0.5343276223345248,34,8.892307692307693,0.24242424242424243,133,4,2.0491803278688523,0.06015037593984962,0.18045112781954886,1,0
20,0,36,95,9,28,4,0,1,9,1,0,5,21,0,2,5,0,1,1000000,23,0.3684210526315789,0.3431372549019608,0.29473684210526313,0.7115583075335397,35,11.55,0.3698630136986301,107,5,4.031578947368421,0.04672897196261682,0.19626168224299065,1,0
21,0,36,120,10,22,3,1,1,8,1,0,4,26,0,0,2,1,3,424500,17,0.25,0.208,0.18333333333333332,0.45799999999999996,30,6.290322580645161,0.22340425531914893,127,5,5.025,0.031496062992125984,0.2047244094488189,1,0
23,0,137,504,70,157,23,9,5,58,14,7,30,54,1,5,12,5,9,460000,120,0.4226190476190476,0.35294117647058826,0.3115079365079365,0.7755602240896359,213,74.58988764044943,0.3377777777777778,556,37,41.029761904761905,0.0539568345323741,0.09712230215827339,1,0
24,0,105,296,38,75,12,0,12,41,1,0,34,54,2,2,1,3,4,975000,51,0.4155405405405405,0.33134328358208953,0.2533783783783784,0.7468838241226301,123,40.627272727272725,0.2703862660944206,336,24,12.121621621621621,0.10119047619047619,0.16071428571428573,1,0
25,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1550000,0,0.0,0.5,0.0,0.5,0,0.0,0.0,2,0,0.0,0.5,0.5,0,1
26,0,59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7166666,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1,0,0.0,0.0,0.0,0,1
28,0,12,23,0,3,0,1,0,3,1,0,1,7,0,0,0,0,3,415000,2,0.21739130434782608,0.16666666666666666,0.13043478260869565,0.38405797101449274,5,0.8333333333333334,0.1875,24,1,2.0,0.041666666666666664,0.2916666666666667,1,0
29,0,112,373,59,101,25,0,9,50,0,0,41,89,5,5,2,2,10,400000,67,0.4101876675603217,0.3491686460807601,0.2707774798927614,0.7593563136410818,153,52.47826086956522,0.33212996389891697,423,34,25.072386058981234,0.09692671394799054,0.21040189125295508,1,0
30,0,33,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,750000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,0,0.0,0.0,0.16666666666666666,1,0
31,0,62,150,23,38,4,1,7,23,1,0,11,37,0,2,0,1,6,500000,26,0.43333333333333335,0.31097560975609756,0.25333333333333335,0.744308943089431,65,19.782608695652176,0.2897196261682243,164,12,6.14,0.06707317073170732,0.22560975609756098,1,0
33,0,56,155,18,33,10,0,4,13,1,0,13,43,1,0,0,2,2,405000,19,0.3548387096774194,0.27058823529411763,0.2129032258064516,0.6254269449715371,55,15.05952380952381,0.2636363636363636,170,14,10.07741935483871,0.07647058823529412,0.2529411764705882,1,0
