"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp","salary"
"aardsda01",2009,1,"SEA","AL",73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419000
"abreubo01",2009,1,"LAA","AL",152,563.0,96.0,165.0,29.0,3.0,15.0,103.0,30.0,8.0,94.0,113.0,7.0,1.0,0.0,9.0,15.0,5000000
"adamsmi03",2009,1,"SDN","NL",37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414800
"adenhni01",2009,1,"LAA","AL",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000
"affelje01",2009,1,"SFN","NL",74,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000
"albaljo01",2009,1,"NYA","AL",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403075
"alberma01",2009,1,"BAL","AL",56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,410000
"amezaal01",2009,1,"FLO","NL",27,69.0,6.0,15.0,3.0,0.0,0.0,5.0,1.0,1.0,5.0,16.0,2.0,0.0,0.0,1.0,0.0,1300000
"anderbr03",2009,1,"CHA","AL",65,185.0,25.0,44.0,9.0,0.0,2.0,13.0,3.0,6.0,20.0,49.0,0.0,3.0,2.0,0.0,4.0,440000
"anderbr04",2009,1,"OAK","AL",30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,400000
"anderga01",2009,1,"ATL","NL",135,496.0,52.0,133.0,27.0,0.0,13.0,61.0,1.0,0.0,27.0,73.0,2.0,2.0,0.0,9.0,11.0,2500000
"anderjo03",2009,1,"DET","AL",74,165.0,22.0,40.0,4.0,4.0,0.0,16.0,13.0,2.0,8.0,22.0,0.0,1.0,1.0,0.0,4.0,400000
"anderma02",2009,1,"NYN","NL",4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1150000
"andinro01",2009,1,"BAL","AL",78,198.0,31.0,44.0,7.0,0.0,2.0,10.0,3.0,3.0,15.0,47.0,1.0,0.0,0.0,2.0,6.0,400000
"andruel01",2009,1,"TEX","AL",145,480.0,72.0,128.0,17.0,8.0,6.0,40.0,33.0,6.0,40.0,77.0,0.0,6.0,12.0,3.0,4.0,400000
"ankieri01",2009,1,"SLN","NL",122,372.0,50.0,86.0,21.0,2.0,11.0,38.0,4.0,3.0,26.0,99.0,4.0,3.0,0.0,3.0,5.0,2825000
