,year,team_id,unpaid,roster,G,W,L,salary,pct_of_high_paid
0,2009,ARI,11,26,162,70,92,73115666,0.4230769230769231
1,2009,ATL,13,27,162,86,76,95321166,0.48148148148148145
2,2009,BAL,12,26,162,64,98,67101666,0.46153846153846156
3,2009,BOS,11,29,162,95,67,121345999,0.3793103448275862
4,2009,CHA,14,26,162,79,83,96068500,0.5384615384615384
5,2009,CHN,11,25,161,83,78,134809000,0.44
6,2009,CIN,11,23,162,78,84,73558500,0.4782608695652174
7,2009,CLE,12,26,162,65,97,71579166,0.46153846153846156
8,2009,COL,14,24,162,92,70,69995000,0.5833333333333334
9,2009,DET,11,28,163,86,77,115085145,0.39285714285714285
10,2009,FLO,17,27,162,87,75,36084000,0.6296296296296297
11,2009,HOU,12,27,162,74,88,102996414,0.4444444444444444
12,2009,KCA,10,25,162,65,97,70108333,0.4
13,2009,LAA,13,28,162,97,65,113709000,0.4642857142857143
14,2009,LAN,12,24,162,95,67,100008592,0.5
15,2009,MIL,13,26,162,80,82,80182502,0.5
16,2009,MIN,17,27,163,87,76,64409266,0.6296296296296297
17,2009,NYA,9,26,162,103,59,201449189,0.34615384615384615
18,2009,NYN,8,28,162,70,92,149373987,0.2857142857142857
19,2009,OAK,17,25,162,75,87,57600000,0.68
20,2009,PHI,8,26,162,93,69,112604046,0.3076923076923077
21,2009,PIT,13,26,161,62,99,48693000,0.5
22,2009,SDN,19,26,162,75,87,42903800,0.7307692307692307
23,2009,SEA,13,26,162,85,77,98094166,0.5
24,2009,SFN,17,26,162,88,74,77866450,0.6538461538461539
25,2009,SLN,14,26,162,91,71,88128409,0.5384615384615384
26,2009,TBA,13,29,162,84,78,63313034,0.4482758620689655
27,2009,TEX,19,27,162,87,75,64027798,0.7037037037037037
28,2009,TOR,14,26,162,75,87,79713700,0.5384615384615384
29,2009,WAS,14,26,162,59,103,54497000,0.5384615384615384
30,2010,ARI,13,25,162,65,97,52218166,0.52
31,2010,ATL,12,26,162,91,71,84021166,0.46153846153846156
32,2010,BAL,11,26,162,66,96,81612500,0.4230769230769231
33,2010,BOS,8,28,162,89,73,161347333,0.2857142857142857
34,2010,CHA,8,25,162,88,74,104330000,0.32
35,2010,CHN,12,26,162,75,87,145784000,0.46153846153846156
36,2010,CIN,15,24,162,91,71,68645542,0.625
37,2010,CLE,21,28,162,69,93,60778966,0.75
38,2010,COL,11,28,162,83,79,83824000,0.39285714285714285
39,2010,DET,11,25,162,81,81,119439928,0.44
40,2010,FLO,17,27,162,80,82,57029719,0.6296296296296297
41,2010,HOU,11,26,162,76,86,91540000,0.4230769230769231
42,2010,KCA,11,27,162,67,95,71405210,0.4074074074074074
43,2010,LAA,9,27,162,80,82,104163866,0.3333333333333333
44,2010,LAN,13,26,162,80,82,94953516,0.5
45,2010,MIL,13,28,162,77,85,80708278,0.4642857142857143
46,2010,MIN,10,26,162,94,68,85409166,0.38461538461538464
47,2010,NYA,10,25,162,95,67,206333389,0.4
48,2010,NYN,11,26,162,79,83,132753942,0.4230769230769231
49,2010,OAK,20,28,162,81,81,50282400,0.7142857142857143
50,2010,PHI,9,28,162,97,65,141928379,0.32142857142857145
51,2010,PIT,19,26,162,57,105,34533000,0.7307692307692307
52,2010,SDN,18,25,162,90,72,37386500,0.72
53,2010,SEA,13,26,162,61,101,84593500,0.5
54,2010,SFN,14,27,162,92,70,98186333,0.5185185185185185
55,2010,SLN,13,25,162,86,76,93540751,0.52
56,2010,TBA,11,26,162,96,66,70123471,0.4230769230769231
57,2010,TEX,17,27,162,90,72,54444814,0.6296296296296297
58,2010,TOR,14,27,162,85,77,60919100,0.5185185185185185
59,2010,WAS,16,26,162,69,93,57599000,0.6153846153846154
60,2011,ARI,14,27,162,94,68,53639833,0.5185185185185185
61,2011,ATL,12,26,162,89,73,87002692,0.46153846153846156
62,2011,BAL,11,25,162,69,93,84604038,0.44
63,2011,BOS,8,27,162,90,72,161762475,0.2962962962962963
64,2011,CHA,7,27,162,79,83,127789000,0.25925925925925924
65,2011,CHN,11,25,162,71,91,125047329,0.44
66,2011,CIN,17,30,162,79,83,75947134,0.5666666666666667
67,2011,CLE,21,29,162,80,82,48776566,0.7241379310344828
68,2011,COL,10,26,162,73,89,88148071,0.38461538461538464
69,2011,DET,13,26,162,95,67,104300231,0.5
70,2011,FLO,17,26,162,72,90,56944000,0.6538461538461539
71,2011,HOU,17,26,162,56,106,69108000,0.6538461538461539
72,2011,KCA,14,25,162,71,91,31962000,0.56
73,2011,LAA,13,29,162,86,76,135154166,0.4482758620689655
74,2011,LAN,13,30,161,82,79,104188999,0.43333333333333335
75,2011,MIL,15,29,162,96,66,84297333,0.5172413793103449
76,2011,MIN,11,25,162,63,99,112737000,0.44
77,2011,NYA,8,26,162,97,65,194104628,0.3076923076923077
78,2011,NYN,16,26,162,77,85,97202602,0.6153846153846154
79,2011,OAK,11,28,162,74,88,66536500,0.39285714285714285
80,2011,PHI,8,28,162,102,60,172148379,0.2857142857142857
81,2011,PIT,17,27,162,72,90,44180000,0.6296296296296297
82,2011,SDN,20,29,162,71,91,45040240,0.6896551724137931
83,2011,SEA,17,27,162,67,95,81196100,0.6296296296296297
84,2011,SFN,11,27,162,86,76,118198333,0.4074074074074074
85,2011,SLN,14,25,162,90,72,84486669,0.56
86,2011,TBA,17,26,162,91,71,41053571,0.6538461538461539
87,2011,TEX,12,27,162,96,66,88884264,0.4444444444444444
88,2011,TOR,14,30,162,81,81,62117800,0.4666666666666667
89,2011,WAS,14,28,161,80,81,63442928,0.5
90,2012,ARI,10,27,162,81,81,73804833,0.37037037037037035
91,2012,ATL,17,28,162,94,68,82349942,0.6071428571428571
92,2012,BAL,13,28,162,93,69,77353999,0.4642857142857143
93,2012,BOS,12,32,162,69,93,151236617,0.375
94,2012,CHA,13,25,162,85,77,96919500,0.52
95,2012,CHN,11,25,162,61,101,87712033,0.44
96,2012,CIN,13,25,162,97,65,73425925,0.52
97,2012,CLE,15,26,162,68,94,65941800,0.5769230769230769
98,2012,COL,16,28,162,64,98,77589571,0.5714285714285714
99,2012,DET,14,28,162,88,74,119300000,0.5
100,2012,HOU,19,25,162,55,107,60160500,0.76
101,2012,KCA,18,28,162,72,90,54414225,0.6428571428571429
102,2012,LAA,10,27,162,89,73,153523666,0.37037037037037035
103,2012,LAN,16,29,162,86,76,94648575,0.5517241379310345
104,2012,MIA,11,25,162,69,93,111598000,0.44
105,2012,MIL,11,26,162,83,79,97653944,0.4230769230769231
106,2012,MIN,14,26,162,66,96,87585000,0.5384615384615384
107,2012,NYA,7,25,162,95,67,187761814,0.28
108,2012,NYN,15,27,162,74,88,93353983,0.5555555555555556
109,2012,OAK,17,27,162,94,68,50800000,0.6296296296296297
110,2012,PHI,12,30,162,81,81,174538938,0.4
111,2012,PIT,14,28,162,79,83,62951999,0.5
112,2012,SDN,13,28,162,76,86,55244700,0.4642857142857143
113,2012,SEA,15,26,162,75,87,81014500,0.5769230769230769
114,2012,SFN,13,28,162,94,68,111140683,0.4642857142857143
115,2012,SLN,14,27,162,88,74,109450862,0.5185185185185185
116,2012,TBA,11,27,162,90,72,63692800,0.4074074074074074
117,2012,TEX,9,26,162,93,69,120510974,0.34615384615384615
118,2012,TOR,9,25,162,73,89,73434200,0.36
119,2012,WAS,16,29,162,98,64,80374143,0.5517241379310345
120,2013,ARI,13,30,162,81,81,90132000,0.43333333333333335
121,2013,ATL,15,27,162,96,66,87871525,0.5555555555555556
122,2013,BAL,12,26,162,85,77,84393333,0.46153846153846156
123,2013,BOS,7,29,162,97,65,151530000,0.2413793103448276
124,2013,CHA,14,28,162,63,99,120065277,0.5
125,2013,CHN,10,25,162,66,96,100063476,0.4
126,2013,CIN,11,25,162,90,72,106404462,0.44
127,2013,CLE,16,28,162,92,70,75771800,0.5714285714285714
128,2013,COL,12,24,162,74,88,71209071,0.5
129,2013,DET,8,24,162,93,69,145989500,0.3333333333333333
130,2013,HOU,19,22,162,51,111,17890700,0.8636363636363636
131,2013,KCA,17,27,162,86,76,80091725,0.6296296296296297
132,2013,LAA,12,25,162,78,84,122174750,0.48
133,2013,LAN,8,32,162,92,70,223362196,0.25
134,2013,MIA,17,24,162,62,100,33601900,0.7083333333333334
135,2013,MIL,12,25,162,74,88,76947033,0.48
